,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
787,s788,Movie,Deep in Vogue,,,,2021-04-15,2019,TV-MA,63 min,"Documentaries, LGBTQ+","""Deep in Vogue"" celebrates the colorful, queer, emotional and political stories of Northern Vogue and its people."
790,s791,Movie,The State of Texas vs. Melissa,,,,2021-04-15,2020,,102 min,Documentaries,"Melissa Lucio was the first Hispanic woman sentenced to death in Texas. For ten years she has been awaiting her fate, and she now faces her last appeal."
796,s797,Movie,Paranormal Activity 4,,,,2021-04-12,2012,R,87 min,"Horror, Thriller","It has been five years since the disappearance of Katie and Hunter, and a suburban family witness strange events in their neighborhood when a woman and a mysterious child move in."
797,s798,Movie,Spontaneous,,,,2021-04-12,2020,R,102 min,"Comedy, Horror",Mara Carlye's life is forever changed when students in her senior class literally explode for no reason. Mara and her friends stay close together as they await possible combustion - wondering what part of life is worth living.if it might end suddenly.
800,s801,Movie,Knuckledust,,,,2021-04-10,2020,,105 min,"Action, Thriller","When Police kicks open the doors of the elite underground fight club Knuckledust, they find seven levels of hell, filled with the dead bodies of countless fighters, assassins and goons. Only one man, beaten up to a pulp, is still breathing : hard Eight."
801,s802,Movie,Everything's Gonna Be Okay,,,United States,2021-04-09,2020,2 Seasons,,"Comedy, Drama","Australian twenty-something Nicholas is left to take care of his two American teenage half-sisters after the death of their father. Nicholas hasnâ€™t been particularly present in his siblingsâ€™ lives, and now his sisters have to cope with not only a devastating loss but the reality that their neurotic, ill-equipped brother is all they have. But he tries! He tries so, so hard."
802,s803,Movie,Hope & Desperation: Emergency at the Border,,,,2021-04-09,2021,,,News,"ABC News Live offers a real and emotional look at the border crisis as it unfolds. Plus, join John QuiÃ±ones in the first U.S. interview with Guatemalan President Alejandro Giammettei."
803,s804,Movie,"Quo Vadis, Aida?",,,,2021-04-09,2020,TV-MA,104 min,"Action, Adventure, Drama","Bosnia, July 1995. Aida is a translator for the UN in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp."
804,s805,Movie,Stars Fell on Alabama,,,,2021-04-09,2021,PG-13,103 min,"Comedy, Romance",Successful Hollywood agent Bryce Dixon is returning to Alabama for the first time in 15 years for his high school reunion.
806,s807,Movie,The Standard,,,,2021-04-09,2020,,92 min,Documentaries,Veterans host an endurance event to connect with civilians and pay tribute to their Special Forces community. The 48-hour challenge is a chance for elite athletes to test their limits and the Cadre to bridge the military-civilian divide.
808,s809,Movie,A Christmas Hero,,,,2021-04-08,2020,PG-13,86 min,Drama,"When a young disillusioned war vet, home from Afghanistan, sees nothing good in his life during Christmas a visit by his guardian angel shows him that his life really did make a difference."
809,s810,Movie,Crock of Gold: A Few Rounds With Shane MacGowan,,,,2021-04-08,2020,,130 min,"Documentaries, Music","CROCK OF GOLD, the definitive documentary on musical icon Shane MacGowan, explores the wild, roving life of Irelandâ€™s most beloved punk poet â€“ from his youth through to the success of the Pogues and beyond, as told by Shane himself."
810,s811,Movie,Ip Man: Kung Fu Master,,,,2021-04-08,2019,,84 min,"Action, Sports","Decades before becoming Bruce Leeâ€™s legendary teacher, the young Ip Man, then a police captain in Foshan, is targeted by the vengeful daughter of a ruthless mobster, just as the Japanese army invades the region."
811,s812,Movie,Girl,,,,2021-04-05,2020,,90 min,"Mystery, Thriller",A young woman (Bella Thorne) returns to her hometown to exact revenge on her abusive father. She soon finds herself prey to a sinister sheriff (Mickey Rourke) when she uncovers a family legacy more disturbing than she'd imagined.
812,s813,Movie,Malika the Lion Queen,,,,2021-04-05,2021,,,"Documentaries, Science & Technology","The exhilarating and harrowing life of Malika, a lioness of a powerful pride in South Africa's Kruger National Park."
814,s815,Movie,The Masters,,,,2021-04-04,2008,,,Sports,"A tradition unlike any other. From Augusta National Golf Club in Augusta, Ga."
815,s816,Movie,Blair Witch,,,,2021-04-03,2016,R,89 min,"Horror, Thriller","It's been 20 years since a local girl vanished into the Black Hills Forest in Maryland while researching the legend of the Blair Witch, leaving a trail of theories and suspicions in their wake."
819,s820,Movie,WeWork: or The Making and Breaking of a $47 Billion Unicorn,,,,2021-04-02,2021,TV-MA,102 min,Documentaries,WeWork: or The Making and Breaking of a $47 Billion Unicorn takes a look at the community-centric ideal that sent the little co-working venture sky-rocketing and then investigates what was really going on behind the scenes.
820,s821,Movie,28 Days Later,,,,2021-04-01,2003,R,113 min,"Drama, Horror, Science Fiction","A deadly virus transforms humans into bloodthirsty, rage-filled zombies that leave a handful of survivors on the run for their lives."
821,s822,Movie,A Hologram for the King,,,,2021-04-01,2016,R,98 min,"Comedy, Drama","Set during the recession, a desperate businessman (Tom Hanks) in Saudi Arabia attempts to leave his mark on the world while fighting foreclosure and paying his daughter's tuition."
824,s825,Movie,Blippi's Great Green Adventure,,,,2021-04-01,2021,TV-Y,42 min,Kids,"This Earth Day, join Blippi as he learns all about the planet and transforms a piece of littered land into a beautiful garden!"
826,s827,Movie,Chappaquiddick,,,,2021-04-01,2017,PG-13,106 min,Drama,"Depicting Ted Kennedy's involvement in the fatal 1969 car accident that claims the life of a young campaign strategist, Mary Jo Kopechne."
835,s836,Movie,Second Act,,,,2021-04-01,2018,PG-13,104 min,"Comedy, Romance",A retail worker reinvents her life and shows what street smarts can do.
836,s837,Movie,Shrek 2,,,,2021-04-01,2004,TV-PG,120 min,"Adventure, Cartoons, Comedy","After battling a fire-breathing dragon and the evil Lord Farquaad to win the hand of Princess Fiona, Shrek now faces his greatest challenge: the in-laws."
837,s838,Movie,Shrek 2 (en EspaÃ±ol),,,,2021-04-01,2004,PG,93 min,"Action, Adventure, Comedy","Un viaje para conocer a los padres de Fiona se convierte en otra aventura para Shrek. Con la ayuda de Burro, Shrek se enfrenta al Hada Madrina, al prÃ­ncipe Encantador y al Gato con Botas."
838,s839,Movie,Sleeping with the Enemy,,,United States,2021-04-01,1991,R,98 min,"Drama, Horror, Thriller","In this tense thriller, a battered wife (Julia Roberts) stages her death, moves, and assumes a new identity â€“ only to be threatened again once her husband learns of the ruse."
839,s840,Movie,So I Married An Axe Murderer,,,,2021-04-01,1993,PG-13,93 min,"Comedy, Romance","Offbeat, hatchet-driven romance about a wedlock-shy coffee house poet (Mike Myers) whose perfect woman (Nancy Travis) just might be a serial killer."
840,s841,Movie,Step Up Revolution,,,,2021-04-01,2012,PG-13,98 min,"Drama, Music, Romance",A woman aspires to becoming a dancer in Miami.
846,s847,Movie,Zappa,,,,2021-04-01,2020,,128 min,"Documentaries, Music","ZAPPA is an expansive and intimate portrait of the brilliant and genuinely maverick musician Frank Zappa, crafted from over a thousand hours of mostly unseen materials from the artist's personal vault."
847,s848,Movie,Juda,,,Israel,2021-03-30,2017,2 Seasons,,"Action, Adventure, Crime","Juda is a low-life gambler hustling a living in the murky depths of the criminal underworld. Borrowing money from the French mafia for a seat at a high-stakes Romanian poker game he wins big, only for his luck to run out when he is robbed and bitten by a seductive vampiress. Unbeknownst to her she has broken the cardinal rule of her forefathers by drinking Jewish blood and begun her own path to mortality. Facing a race against time she must choose; exterminate Juda within eight days before his transition is complete and her own fate and that of her clan is endangered, or save him and risk everything. What follows is a sweeping tale of an unwilling heroâ€™s journey to redemption, true friendship and forbidden love as Juda is hunted by Romanian vampires, Israeli cops and French mobsters whilst running from his own fate of becoming immortal."
852,s853,Movie,5 Years Apart,,,,2021-03-26,2019,,77 min,"Comedy, Drama","Two estranged brothers born on the same day, five years apart, run into each other at their family vacation home with wildly different expectations for how their birthday weekend is going to play out. Starring Chole Bennet, Scott Michel Foster."
853,s854,Movie,Blood Moon,,,,2021-03-26,2021,TV-MA,82 min,"Drama, Horror, Science Fiction","When Esme and her ten-year-old son, Luna move to a small desert town looking for a fresh start, they attract all the wrong kinds of attention. Esme must battle to protect her son and a terrifying secret before the next full moon reveals all."
855,s856,Movie,The Hurricane Heist,,,,2021-03-26,2018,PG-13,103 min,"Action, Adventure",Thieves attempt a massive heist against the U.S. Treasury as a Category 5 hurricane approaches one of its Mint facilities.
856,s857,Movie,Collective,,,,2021-03-25,2019,,114 min,Documentaries,"COLLECTIVE is a gripping, real-time docu-thriller that follows a heroic team of reporters as they expose shocking corruption in the Romanian national healthcare system."
857,s858,Movie,Shortcut,,,,2021-03-25,2020,R,81 min,"Horror, Thriller",A group of five classmates is trapped inside their school bus after a mysterious creature invade the road. Time runs and every passing minute decreases their survival chances against the constant threats of that unknown entity.
858,s859,Movie,The Orange Years: The Nickelodeon Story,,,,2021-03-25,2018,,102 min,Documentaries,"The Orange Years chronicles the rise of the Nickelodeon network, featuring interviews with the actors, writers, and creators from all the golden age Nickelodeon shows that shaped your lives. Itâ€™s wild. Itâ€™s crazy. It changed the world."
859,s860,Movie,100% Wolf,,,,2021-03-23,2020,TV-PG,96 min,Comedy,"Freddy Lupin can't wait to become a werewolf, just like his legendary father. But when the big day arrives, something goes awry and Freddy transforms into a ferociousâ€¦poodle."
865,s866,Movie,Hunter Hunter,,,,2021-03-19,2020,,93 min,"Horror, Thriller",A mysterious predator eludes an aging detective and a cunning outdoorsman to corner and terrorize a woman and daughter trapped in a remote forest cabin.
866,s867,Movie,Odd Man Rush,,,,2021-03-19,2020,,85 min,"Comedy, Romance","When Harvard hockey's Bobby Sanders lands in Sweden's minor leagues, his relationship with the girl at the local market forces him to confront the reality of his childhood NHL dream before the Hockey Gods intervene."
873,s874,Movie,1 Night in San Diego,,,,2021-03-15,2020,,86 min,Comedy,"BFFs Hannah and Brooklyn, played by Jenna Ushkowitz (Glee) and Laura Ashley Samuels (Modern Family), embark on road trip to San Diego to meet an old high school crush. When things don't go as planned, the night turns into debaucherous chaos"
874,s875,Movie,Another Round,,,,2021-03-15,2020,,117 min,"Comedy, Drama","Another Round is a fun, moving, life-affirming and thought-provoking drama about friendship, freedom, love â€“ and alcohol."
875,s876,Movie,Another Time,,,United States,2021-03-15,2018,89 min,,"Adventure, Comedy, Romance","The top investment manager at his firm is assigned to help the stunning owner of a recently acquired company. He realizes he has fallen for her, and he has to go back in time to meet her before she becomes engaged."
